UserID,Date,Steps,Calories,Heart Rate,Exercise Session,Exercise Time (in Min)
1,2025-04-22,10933,2366,147,1,32
1,2025-08-27,6180,2406,84,1,42
1,2025-12-25,7952,1828,145,0,0
1,2025-05-12,7494,1893,61,1,36
1,2025-07-08,13450,3341,117,0,0
1,2025-03-27,3200,2975,91,1,81
1,2025-11-07,10216,2497,78,0,0
1,2025-12-29,7136,2778,69,0,0
1,2025-02-28,9565,2807,64,0,0
1,2025-03-25,5485,2105,158,1,30
1,2025-06-09,7066,2042,126,1,48
1,2025-02-25,11561,2579,112,1,58
1,2025-10-24,12642,2678,94,0,0
1,2025-01-14,12988,3315,67,0,0
1,2025-12-21,13248,2232,88,0,0
1,2025-10-22,5573,2291,77,0,0
1,2025-12-13,5564,1805,107,1,80
1,2025-07-12,7771,1866,84,1,56
1,2025-07-23,14517,2729,64,0,0
1,2025-04-12,7334,3413,156,0,0
1,2025-02-08,9965,2035,124,0,0
1,2025-10-31,13610,2105,89,0,0
1,2025-11-18,4169,1922,76,1,56
1,2025-05-05,10195,2054,114,1,71
1,2025-02-22,7460,2824,124,1,76
1,2025-06-04,4317,3024,60,1,61
1,2025-11-04,12891,2312,58,0,0
1,2025-03-03,6750,3180,128,0,0
1,2025-10-17,14014,3482,89,0,0
1,2025-01-22,5870,2763,121,1,55
1,2025-06-27,5973,2998,110,1,31
1,2025-09-30,10700,2512,107,1,61
1,2025-08-08,13979,2014,75,1,72
1,2025-07-09,14365,2814,91,1,90
1,2025-02-05,3601,2731,66,1,52
1,2025-09-17,8296,2037,153,1,85
1,2025-06-24,3018,3146,124,1,72
1,2025-01-07,3888,2184,121,1,83
1,2025-08-04,13246,2705,152,0,0
1,2025-09-08,6335,2346,125,0,0
1,2025-02-24,7719,2697,144,1,35
1,2025-08-10,3472,3090,132,0,0
1,2025-07-05,14629,2124,94,0,0
1,2025-08-24,12048,2635,66,0,0
1,2025-03-20,4858,2745,70,0,0
1,2025-08-11,11165,3267,92,1,73
1,2025-04-01,10905,2767,86,1,90
1,2025-09-25,5369,2585,79,0,0
1,2025-05-19,4143,2365,153,1,63
1,2025-11-12,11318,2347,160,0,0
1,2025-10-03,7634,3286,93,1,39
1,2025-09-05,10316,2903,116,1,62
1,2025-12-30,12042,3362,124,1,78
1,2025-08-12,8272,2186,144,0,0
1,2025-12-10,12368,2584,84,1,25
1,2025-05-18,8213,3325,115,1,69
1,2025-06-15,13873,3422,160,0,0
1,2025-05-06,11115,1875,71,1,32
1,2025-02-14,10213,2004,122,1,21
1,2025-05-23,14836,2095,107,0,0
1,2025-08-19,4225,2761,155,1,63
1,2025-12-08,13211,3218,105,0,0
1,2025-08-26,8383,3181,123,1,60
1,2025-10-19,13269,3271,152,1,89
1,2025-07-14,3588,3064,63,0,0
1,2025-06-22,13340,3201,91,0,0
1,2025-01-15,4480,2688,67,0,0
1,2025-09-11,10269,2140,143,1,23
1,2025-06-16,3753,2464,156,0,0
1,2025-04-04,7806,2534,102,1,38
1,2025-09-07,7000,2887,107,0,0
1,2025-04-19,5785,2158,65,1,50
1,2025-07-01,11153,2994,73,0,0
1,2025-05-13,10555,3106,87,1,52
1,2025-11-25,13925,1819,157,1,56
1,2025-05-24,14101,2919,75,0,0
1,2025-05-22,10237,2507,130,1,74
1,2025-10-12,14310,2312,113,1,45
1,2025-01-06,9302,2789,68,0,0
1,2025-09-22,9248,2971,100,1,57
1,2025-04-08,3359,3499,139,1,55
1,2025-02-13,3132,2959,142,0,0
1,2025-05-04,12935,3326,118,1,49
1,2025-07-28,12946,3442,100,0,0
1,2025-11-22,13430,2189,134,1,37
1,2025-10-10,13293,1998,135,0,0
1,2025-09-01,8061,3415,111,0,0
1,2025-09-09,12495,2547,148,0,0
1,2025-08-18,4476,2404,96,1,42
1,2025-01-09,6289,2070,155,1,87
1,2025-02-17,11221,2358,76,1,81
1,2025-05-31,7835,3328,98,0,0
1,2025-04-24,10673,1954,73,0,0
1,2025-07-27,14080,3283,141,1,66
1,2025-12-24,4479,3419,105,0,0
1,2025-06-06,7332,2898,70,1,67
1,2025-12-27,14023,3333,141,1,68
1,2025-08-31,13461,2560,68,0,0
1,2025-06-26,10724,1851,134,1,48
1,2025-08-06,13611,1929,136,1,58
1,2025-06-19,13637,2636,69,0,0
1,2025-06-30,3742,1876,93,1,34
1,2025-08-21,4592,2280,123,0,0
1,2025-11-13,9367,2729,102,1,39
1,2025-09-27,9797,3141,67,1,72
1,2025-05-09,7583,1867,143,1,47
1,2025-04-29,10264,2710,85,1,32
1,2025-12-04,14234,2552,124,1,27
1,2025-04-09,9523,2365,79,0,0
1,2025-06-11,10450,1987,139,0,0
1,2025-01-31,13513,3109,131,0,0
1,2025-07-10,3828,3411,97,0,0
1,2025-11-06,5063,3411,127,0,0
1,2025-10-06,4124,3499,152,0,0
1,2025-07-15,12607,2242,159,0,0
1,2025-09-24,8383,3385,73,0,0
1,2025-10-02,7542,2096,71,1,42
1,2025-02-19,4801,3153,58,0,0
1,2025-12-20,3243,2533,156,0,0
1,2025-11-28,12647,2463,57,0,0
2,2025-05-16,4140,2090,149,0,0
2,2025-01-27,4503,3328,122,0,0
2,2025-03-06,9163,2659,113,1,40
2,2025-08-04,9062,2438,147,1,30
2,2025-09-27,3861,2118,75,0,0
2,2025-02-28,14042,1967,89,1,74
2,2025-02-02,10957,3043,111,1,54
2,2025-09-01,6531,3346,120,0,0
2,2025-08-18,8655,2680,69,1,82
2,2025-07-05,11633,3166,94,0,0
2,2025-09-20,6612,2609,131,0,0
2,2025-10-31,3125,2218,93,0,0
2,2025-02-25,5248,3365,87,1,61
2,2025-08-20,4965,1815,118,1,42
2,2025-09-15,5116,2578,123,0,0
2,2025-04-24,11196,2944,140,1,29
2,2025-11-11,9505,3319,60,1,22
2,2025-01-23,10532,1959,95,1,71
2,2025-12-04,14624,3111,108,1,34
2,2025-09-24,9636,1842,96,0,0
2,2025-06-04,13127,2742,143,1,31
2,2025-08-23,10155,2016,86,1,71
2,2025-11-26,11584,1961,105,1,63
2,2025-01-16,6630,2482,154,0,0
2,2025-02-01,4251,2845,136,0,0
2,2025-09-03,11693,2844,79,1,64
2,2025-07-25,14917,3477,137,0,0
2,2025-08-07,6871,2010,73,1,45
2,2025-12-19,5842,3033,74,0,0
2,2025-09-09,5902,3382,135,1,79
2,2025-08-16,12236,3356,129,1,61
2,2025-02-07,13276,2447,74,1,28
2,2025-02-11,10682,2705,135,1,55
2,2025-06-14,12689,1915,100,0,0
2,2025-11-08,8085,2745,112,0,0
2,2025-03-17,3932,2555,91,0,0
2,2025-02-03,13562,1984,133,1,79
2,2025-12-29,12508,2935,156,0,0
2,2025-05-21,10368,3458,128,0,0
2,2025-11-16,8267,3039,115,0,0
2,2025-11-21,4013,2722,68,1,30
2,2025-10-27,11266,3123,77,0,0
2,2025-10-08,7059,3249,111,1,87
2,2025-06-16,11564,3048,75,1,67
2,2025-07-15,7634,2593,107,1,26
2,2025-11-02,13336,3125,97,0,0
2,2025-09-29,8401,1993,126,1,56
2,2025-05-31,7128,3282,139,0,0
2,2025-08-21,8461,1966,129,0,0
2,2025-09-16,8731,2435,138,1,36
2,2025-11-06,12749,3251,65,1,68
2,2025-08-09,13542,3421,97,0,0
2,2025-02-20,13979,3239,149,0,0
2,2025-12-26,13584,3173,109,1,22
2,2025-10-10,8940,2432,78,0,0
2,2025-04-21,8598,3369,117,0,0
2,2025-11-10,6711,2081,74,0,0
2,2025-12-18,7846,3414,67,0,0
2,2025-04-27,13845,2489,153,0,0
2,2025-07-31,12785,2571,74,0,0
2,2025-06-23,5962,3218,153,0,0
2,2025-11-13,14815,2696,60,1,66
2,2025-07-24,14081,3273,85,1,56
2,2025-08-01,10355,2279,123,0,0
2,2025-02-18,8070,3456,155,1,44
2,2025-06-10,9026,3189,128,1,79
2,2025-12-13,7616,3393,103,1,40
2,2025-11-20,6271,3440,132,0,0
2,2025-05-11,7096,1906,137,1,67
2,2025-07-11,12085,2010,146,0,0
2,2025-03-20,7670,1971,152,0,0
2,2025-08-31,7469,2720,120,0,0
2,2025-02-04,10167,1987,83,1,64
2,2025-02-16,3436,2649,61,1,84
2,2025-02-13,9126,2282,104,0,0
2,2025-02-17,9142,2259,58,1,32
2,2025-08-10,14709,3131,97,0,0
2,2025-02-19,5254,1878,91,1,37
2,2025-07-10,14559,2760,112,0,0
2,2025-03-08,4298,1838,87,0,0
2,2025-10-12,5449,2923,148,1,34
2,2025-01-31,7720,2286,93,0,0
2,2025-06-18,3782,2288,108,1,28
2,2025-03-04,4816,2823,131,0,0
2,2025-07-30,13353,2855,128,0,0
2,2025-07-01,14772,2094,92,1,20
2,2025-08-05,13073,2522,85,1,43
2,2025-12-30,13885,3168,65,1,28
2,2025-05-28,11618,2914,119,0,0
2,2025-06-09,9397,2762,60,1,67
2,2025-06-30,7155,3330,57,1,28
2,2025-02-23,8649,2293,148,0,0
2,2025-09-17,12533,3305,151,1,37
2,2025-04-19,3726,2521,124,1,42
2,2025-03-21,14217,2751,144,1,43
2,2025-09-04,5209,1929,146,1,24
2,2025-04-25,7807,2212,60,0,0
2,2025-12-03,3686,2446,94,1,89
2,2025-06-29,10756,2318,59,0,0
2,2025-07-08,7687,2531,154,0,0
2,2025-11-27,13743,2479,89,0,0
2,2025-05-23,9029,2694,106,1,69
2,2025-04-26,8554,2182,118,1,67
2,2025-08-08,11507,2346,157,0,0
2,2025-01-14,14912,2669,65,1,43
2,2025-05-17,11937,2401,96,0,0
2,2025-01-15,4311,2471,139,1,59
2,2025-04-03,10305,3034,146,1,41
2,2025-05-20,14301,2709,99,1,25
2,2025-06-08,14908,2522,133,1,55
2,2025-08-24,13477,3420,62,0,0
2,2025-03-28,13996,3105,106,1,85
2,2025-03-31,14131,2127,58,0,0
2,2025-01-02,12954,3188,155,1,24
2,2025-10-19,5068,1937,85,1,66
2,2025-08-11,9272,2961,59,0,0
2,2025-02-06,14125,2721,102,1,76
2,2025-05-25,4259,2975,72,1,70
2,2025-11-07,8150,3130,90,0,0
2,2025-04-13,4858,1853,149,0,0
3,2025-09-13,6342,2496,132,0,0
3,2025-09-23,8121,3271,95,1,71
3,2025-07-18,5142,3357,102,0,0
3,2025-10-15,8228,2295,114,0,0
3,2025-03-02,7382,2720,86,0,0
3,2025-05-15,4586,1903,92,1,73
3,2025-05-14,7067,2127,159,1,60
3,2025-08-17,6110,3362,75,1,85
3,2025-04-20,10648,2821,94,1,22
3,2025-11-10,4475,2605,119,1,50
3,2025-05-27,6524,2994,100,0,0
3,2025-09-09,3828,2376,118,1,56
3,2025-04-13,11793,1816,68,1,37
3,2025-03-04,7333,3289,101,1,66
3,2025-03-11,3741,2620,61,0,0
3,2025-02-07,8939,2933,91,0,0
3,2025-08-20,9329,2832,112,1,35
3,2025-03-30,5108,1998,105,1,63
3,2025-08-16,12139,2548,151,0,0
3,2025-02-14,6261,3033,120,1,84
3,2025-06-13,3659,1892,59,0,0
3,2025-12-08,14691,2482,157,1,86
3,2025-06-27,10487,2105,132,0,0
3,2025-02-03,8373,3055,95,0,0
3,2025-10-09,9438,3062,149,1,63
3,2025-10-05,11311,3496,120,1,58
3,2025-05-29,10780,3470,57,1,62
3,2025-06-03,14039,2024,108,1,23
3,2025-03-22,12779,2771,88,0,0
3,2025-11-23,14819,1905,129,1,41
3,2025-03-31,11589,3088,147,1,38
3,2025-07-05,14153,2296,59,0,0
3,2025-09-18,6125,1838,111,1,73
3,2025-04-25,5481,2645,143,0,0
3,2025-12-18,9723,2827,154,1,27
3,2025-12-19,14563,2082,121,0,0
3,2025-03-13,12189,2465,139,1,87
3,2025-05-02,9173,2442,77,1,88
3,2025-09-10,8608,2918,100,1,81
3,2025-01-14,6150,2304,90,1,48
3,2025-07-04,7876,3379,91,0,0
3,2025-10-11,14308,3243,117,1,81
3,2025-10-21,8714,2947,156,1,56
3,2025-07-08,4996,2974,141,1,70
3,2025-08-28,8654,3383,157,0,0
3,2025-10-10,7758,1886,91,0,0
3,2025-03-08,8674,2705,138,1,81
3,2025-12-22,6505,2213,160,1,54
3,2025-12-12,5249,2023,133,0,0
3,2025-12-10,6972,1903,140,0,0
3,2025-06-08,13452,2276,61,0,0
3,2025-07-23,9771,2476,146,1,32
3,2025-09-03,14160,3378,72,0,0
3,2025-09-27,12016,2123,107,1,81
3,2025-07-30,13658,2208,151,1,61
3,2025-07-29,7676,3122,62,0,0
3,2025-10-22,13687,2975,84,0,0
3,2025-12-16,5868,2655,77,0,0
3,2025-03-06,9504,3413,118,0,0
3,2025-06-12,7742,1876,56,1,33
3,2025-11-04,8489,2382,113,1,37
